,Short _Name,Long_Name,Short_Description,Long_Description,Data_Source
414,m83_2016,Residential_Demolitions_2016,Residential units permitted for demolition per 100 single-family units,"Number of residential units permitted for  demolition, divided by single-family units, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2015-June 30, 2016"
415,r83_2016,Residential_Demolition_Permit_Units_2016,Number of residential units permitted for demolition,Number of residential units permitted for demolition,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2015-June 30, 2016"
416,m83_2015,Residential_Demolitions_2015,Residential units permitted for demolition per 100 single-family units,"Number of residential units permitted for  demolition, divided by single-family units, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2014-June 30, 2015"
417,r83_2015,Residential_Demolition_Permit_Units_2015,Number of residential units permitted for demolition,Number of residential units permitted for demolition,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2014-June 30, 2015"
418,m83_2013,Residential_Demolitions_2013,Residential units permitted for demolition per 100 single-family units,"Number of residential units permitted for  demolition, divided by single-family units, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2012-June 30, 2013"
419,r83_2013,Residential_Demolition_Permit_Units_2013,Number of residential units permitted for demolition,Number of residential units permitted for demolition,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2012-June 30, 2013"
420,m83_2011,Residential_Demolitions_2011,Residential units permitted for demolition per 100 single-family units,"Number of residential units permitted for  demolition, divided by single-family units, times 100.","Mecklenburg County Land Use and Environmental Services Agency, July 1, 2010-June 30, 2011"
421,r83_2011,Residential_Demolition_Permit_Units_2011,Number of residential units permitted for demolition,Number of residential units permitted for demolition,"Mecklenburg County Land Use and Environmental Services Agency, July 1, 2010-June 30, 2011"
422,m69_2017,Foreclosures_2017,Percentage of housing units in forclosure,"Number of single-family, condominium and townhome foreclosures, divided by the number of single-family dwellings, condominiums and townhomes.","Mecklenburg County Register of Deeds, July 1, 2015-June 30, 2017"
423,r69_2017,Foreclosed_Units_2017,Number of foreclosures,"Number of single-family, condominium and townhome foreclosures.","Mecklenburg County Register of Deeds, July 1, 2015-June 30, 2017"
424,m69_2016,Foreclosures_2016,Percentage of housing units in forclosure,"Number of single-family, condominium and townhome foreclosures, divided by the number of single-family dwellings, condominiums and townhomes.","Mecklenburg County Register of Deeds, July 1, 2015-June 30, 2016"
425,r69_2016,Foreclosed_Units_2016,Number of foreclosures,"Number of single-family, condominium and townhome foreclosures.","Mecklenburg County Register of Deeds, July 1, 2015-June 30, 2016"
426,m69_2015,Foreclosures_2015,Percentage of housing units in forclosure,"Number of single-family, condominium and townhome foreclosures, divided by the number of single-family dwellings, condominiums and townhomes.","Mecklenburg County Register of Deeds, July 1, 2014-June 30, 2015"
427,r69_2015,Foreclosed_Units_2015,Number of foreclosures,"Number of single-family, condominium and townhome foreclosures.","Mecklenburg County Register of Deeds, July 1, 2014-June 30, 2015"
428,m69_2013,Foreclosures_2013,Percentage of housing units in forclosure,"Number of single-family, condominium and townhome foreclosures, divided by the number of single-family dwellings, condominiums and townhomes.","Mecklenburg County Register of Deeds, July 1, 2012-June 30, 2013"
429,r69_2013,Foreclosed_Units_2013,Number of foreclosures,"Number of single-family, condominium and townhome foreclosures.","Mecklenburg County Register of Deeds, July 1, 2012-June 30, 2013"
430,m69_2011,Foreclosures_2011,Percentage of housing units in forclosure,"Number of single-family, condominium and townhome foreclosures, divided by the number of single-family dwellings, condominiums and townhomes.","Mecklenburg County Register of Deeds, July 2010-June 2011"
431,r69_2011,Foreclosed_Units_2011,Number of foreclosures,"Number of single-family, condominium and townhome foreclosures.","Mecklenburg County Register of Deeds, July 2010-June 2011"
432,m76_2015,Home_Sale_Price_2015,"Average sales price of single-family homes, condominiums, and townhomes (Dollars)","Sum of sales values for single family dwellings, condominiums, and townhomes divided by the number of sales of single family dwellings, condominiums, and townhomes","Mecklenburg County Register of Deeds, 2014 and 2015"
433,m76_2013,Home_Sale_Price_2013,"Average sales price of single-family homes, condominiums, and townhomes (Dollars)","Sum of sales values for single family dwellings, condominiums, and townhomes divided by the number of sales of single family dwellings, condominiums, and townhomes","Mecklenburg County Register of Deeds, 2012 and 2013"
434,m68_2018,Housing_Violations_2018,Housing code violations per 100 housing units,"Number of housing related code violations divided by number of residential units, times  100","Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2015-June 2016, Mecklenburg County Tax Parcels, 2016"
435,r68_2018,Housing_Violations_Total_2018,Number  of housing code violations,Number of housing related code violations ,"Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2017-June 2018"
436,m68_2016,Housing_Violations_2016,Housing code violations per 100 housing units,"Number of housing related code violations divided by number of residential units, times  100","Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2017-June 2018, Mecklenburg County Tax Parcels, 2018"
437,r68_2016,Housing_Violations_Total_2016,Number  of housing code violations,Number of housing related code violations ,"Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2015-June 2016"
438,m68_2015,Housing_Violations_2015,Housing code violations per 100 housing units,"Number of housing related code violations divided by number of residential units, times  100","Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2014-June 2015, Mecklenburg County Tax Parcels, 2015"
439,r68_2015,Housing_Violations_Total_2015,Number  of housing code violations,Number of housing related code violations ,"Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2014-June 2015"
440,m68_2013,Housing_Violations_2013,Housing code violations per 100 housing units,"Number of housing related code violations divided by number of residential units, times  100","Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2012-June 2013, Mecklenburg County Tax Parcels, 2013"
441,r68_2013,Housing_Violations_Total_2013,Number  of housing code violations,Number of housing related code violations ,"Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2012-June 2013"
442,m68_2011,Housing_Violations_2011,Housing code violations per 100 housing units,"Number of housing related code violations divided by number of residential units, times 100","Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2010-June 2011, Mecklenburg County Tax Parcels, 2011"
443,r68_2011,Housing_Violations_Total_2011,Number  of housing code violations,Number of housing related code violations ,"Neighborhood and Business Services and Mecklenburg County Code Enforcement, July 2010-June 2011"
444,m82_2017,Subsidized_Housing_2017,Percent of housing units twith development-based rental assistance,Number of housing units with development based rental assistance. ,"Charlotte Housing Authority; Charlotte-Mecklenburg Housing Partnership; City of Charlotte Neighborhood & Business Services; National Housing Preservation Database; North Carolina Housing Finance Agency; U.S. Department of Housing and Urban Development Multifamily Properties Database, 2013; Mecklenburg County Tax Parcels 2017"
445,r82_2017,Subsidized_Housing_Units_2017,Percentage of housing units with development-based rental assistance,"Number of housing units  with development based rental assistance. Development-based rental assistance includes proprerties with Low-Income Housing Tax Credits, developments from the Charlotte Housing Authority, Charlotte-Mecklenburg Housing Partnership, those fuded by government agencies, and those with Section 8 and HOME Rental Assistance subsidies. ","Charlotte Housing Authority; Charlotte-Mecklenburg Housing Partnership; City of Charlotte Neighborhood & Business Services; National Housing Preservation Database; North Carolina Housing Finance Agency; U.S. Department of Housing and Urban Development Multifamily Properties Database, 2017"
446,m82_2013,Subsidized_Housing_2013,Percent of housing units twith development-based rental assistance,Number of housing units with development based rental assistance. ,"Charlotte Housing Authority; Charlotte-Mecklenburg Housing Partnership; City of Charlotte Neighborhood & Business Services; National Housing Preservation Database; North Carolina Housing Finance Agency; U.S. Department of Housing and Urban Development Multifamily Properties Database, 2013; Mecklenburg County Tax Parcels 2013"
447,r82_2013,Subsidized_Housing_Units_2013,Percentage of housing units with development-based rental assistance,"Number of housing units  with development based rental assistance. Development-based rental assistance includes proprerties with Low-Income Housing Tax Credits, developments from the Charlotte Housing Authority, Charlotte-Mecklenburg Housing Partnership, those fuded by government agencies, and those with Section 8 and HOME Rental Assistance subsidies. ","Charlotte Housing Authority; Charlotte-Mecklenburg Housing Partnership; City of Charlotte Neighborhood & Business Services; National Housing Preservation Database; North Carolina Housing Finance Agency; U.S. Department of Housing and Urban Development Multifamily Properties Database, 2013"
448,m29_2017,Home_Ownership_2017,Number of housing units with development-based rental assistance,"Number of owner-occupied housing units, divided by the total number of occupied housing units","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
449,m29_moe_2017,Home_Ownership_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
450,m31_2017,Residential_Occupancy_2017,Percentage of housing units that are occupied,"Number of occupied housing units, divided by the total number of housing units.","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
451,m31_moe_2017,Residential_Occupancy_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
452,m40_2017,Rental_Costs_2017,Median gross rent of renter-occupied housing units (Dollars),"Median gross rent as estimated by the American Community Survey. Median gross rent is inflation-adjusted to the most recent year of the five-year estimate. When an NPA is comprised of more than one block group, the median gross rent is calculated by linear interpolation for a range of rents published in the ACS. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
453,m40_moe_2017,Rental_Costs_moe_2017,Margin of Error (Dollars),"The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error. The margin of error is not calculated for NPA's that are comprised of more than one block group. When combining NPA's, this variable should be used with caution. ","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
454,Safety,,,,
455,m58_2018,Violent_Crime_Rate_2018,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Mint Hill Police Departments, 2018; Population Estimate, 2018"
456,r58_2018,Violent_Crimes_2018,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Mint Hill Police Departments, 2018"
457,m58_2017,Violent_Crime_Rate_2017,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017; Population Estimate, 2017"
458,r58_2017,Violent_Crimes_2017,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017"
459,m58_2016,Violent_Crime_Rate_2016,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Matthews Police Departments, 2016; Population Estimate, 2016"
460,r58_2016,Violent_Crimes_2016,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Matthews Police Departments, 2016"
461,m58_2015,Violent_Crime_Rate_2015,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2015; Population Estimate, 2015"
462,r58_2015,Violent_Crimes_2015,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2015"
463,m58_2013,Violent_Crime_Rate_2013,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2013; Population Estimate, 2013"
464,r58_2013,Violent_Crimes_2013,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Departments, 2013"
465,m58_2011,Violent_Crime_Rate_2011,"Violent offenses per 1,000 residents","Number of violent offenses, divided by the total population, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011; U.S. Census Bureau 2010 Census"
466,r58_2011,Violent_Crimes_2011,Number of violent offenses,"Total number of violent offenses. Violent offenses include aggravated assault, armed robbery and strong arm robbery, homicide, negligent manslaughter, and rape and attempted rape.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011"
467,m59_2018,Property_Crime_Rate_2018,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Mint Hill Police Departments, 2018; Population Estimate, 2018"
468,r59_2018,Property_Crimes_2018,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Mint Hill Police Departments, 2018"
469,m59_2017,Property_Crime_Rate_2017,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017; Population Estimate, 2017"
470,r59_2017,Property_Crimes_2017,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017"
471,m59_2016,Property_Crime_Rate_2016,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews Police Departments, 2016; Population Estimate, 2016"
472,r59_2016,Property_Crimes_2016,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews Police Departments, 2016"
473,m59_2015,Property_Crime_Rate_2015,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2015; Population Estimate, 2015"
474,r59_2015,Property_Crimes_2015,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2015"
475,m59_2013,Property_Crime_Rate_2013,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2013; Population Estimate, 2013"
476,r59_2013,Property_Crimes_2013,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, Matthews and Mint Hill Police Deapartments, 2013"
477,m59_2011,Property_Crimes_Rate_2011,"Property offenses per 1,000 residents","Number of property offenses, divided by the total population, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011; U.S. Census Bureau 2010 Census"
478,r59_2011,Property_Crimes_2011,Number of property offenses,"Total number of property offenses. Property offenses include arson, burglary and attempted burglary, larceny, and motor vehicle theft.","Charlotte-Mecklenburg, Cornelius, Huntersville, and Pineville Police Departments, 2011"
479,m60_2018,Disorder_Call_Rate_2018,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg and Huntersville Police Departments, 2018; Population Estimate, 2018"
480,r60_2018,Disorder_Calls_2018,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg and HuntersvillePolice Departments, 2018"
481,m60_2017,Disorder_Call_Rate_2017,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg and Huntersville Police Departments, 2017; Population Estimate, 2017"
482,r60_2017,Disorder_Calls_2017,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg and HuntersvillePolice Departments, 2017"
483,m60_2016,Disorder_Call_Rate_2016,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville,  and Cornelius Police Departments, 2016; Population Estimate, 2016"
484,r60_2016,Disorder_Calls_2016,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg, Huntersville, Matthews and Cornelius Police Departments, 2016"
485,m60_2015,Disorder_Call_Rate_2015,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville,  and Cornelius Police Departments, 2015; Population Estimate, 2015"
486,r60_2015,Disorder_Calls_2015,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg, Huntersville, Matthews and Cornelius Police Departments, 2015"
487,m60_2013,Disorder_Call_Rate_2013,"Disorder-related calls per 1,000 residents","Number of disorder-related calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, and Cornelius Police Departments, 2013; Population Estimate, 2013"
488,r60_2013,Disorder_Calls_2013,Number of disorder-related calls,"Total number of disorder-related calls. Disorder-related calls include but are not limited to ABC violations, disturbance, drug violations, fight, intoxicated person, loitering, noise complaint, prostitution, suspicious person, suspicious vehicle, trash/littering, and trespass.","Charlotte-Mecklenburg and Cornelius Police Departments, 2013"
489,m61_2018,Animal_Control_Call_Rate_2018,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, and Huntersville Police Departments, 2018; Population Estimate, 2018"
490,r61_2018,Animal_Control_Calls_2018,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Cornelius, and Huntersville Police Departments, 2018"
491,m61_2017,Animal_Control_Call_Rate_2017,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017; Population Estimate, 2017"
492,r61_2017,Animal_Control_Calls_2017,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Huntersville, and Matthews Police Departments, 2017"
493,m61_2016,Animal_Control_Call_Rate_2016,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2016; Population Estimate, 2016"
494,r61_2016,Animal_Control_Calls_2016,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2016"
495,m61_2015,Animal_Control_Call_Rate_2015,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2015; Population Estimate, 2015"
496,r61_2015,Animal_Control_Calls_2015,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Huntersville, Cornelius, and Matthews Police Departments, 2015"
497,m61_2013,Animal_Control_Call_Rate_2013,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte-Mecklenburg, Cornelius, and Matthews Police Departments, 2013; Population Estimate, 2013"
498,r61_2013,Animal_Control_Calls_2013,Number of calls for animal control,Total number of animal control calls for service.,"Charlotte-Mecklenburg, Cornelius, and Matthews Police Departments, 2013"
499,m61_2011,Animal_Control_Call_Rate_2011,"Animal control calls per 1,000 residents","Number of animal control calls for service, divided by the total population, multiplied by 1,000.","Charlotte-Mecklenburg Police Department, 2011; U.S. Census Bureau 2010 Census"
500,r61_2011,Animal_Control_Calls_2011,Number of calls for animal control,Number of animal control calls,"Charlotte-Mecklenburg Police Department, 2011; U.S. Census Bureau 2010 Census"
501,m78_2018,Fire_Call_Rate_2018,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , 2017; Medic911, 2017; Population Estimate, 2017"
502,r78_2018,Fire_Calls_2018,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , 2018; Medic911, 2018"
503,m78_2017,Fire_Call_Rate_2017,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , 2017; Medic911, 2017; Population Estimate, 2017"
504,r78_2017,Fire_Calls_2017,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , 2017; Medic911, 2017"
505,m78_2016,Fire_Call_Rate_2016,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , 2016; Medic911, 2016; Population Estimate, 2016"
506,r78_2016,Fire_Calls_2016,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , 2016; Medic911, 2016"
507,m78_2015,Fire_Call_Rate_2015,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department , Medic 911, 2015; Population Estimate, 2015"
508,r78_2015,Fire_Calls_2015,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , Medic 911, 2015"
509,m78_2013,Fire_Call_Rate_2013,"Fire calls for service per 1,000 residents","Number of fire calls for service, divided by the total population estimate, multiplied by 1,000.","Charlotte Fire Department ,  Medic 911, 2013; Population Estimate, 2013"
510,r78_2013,Fire_Calls_2013,Number of fire calls for service,"Total number of fire calls for service. Fire calls for service included but were not limited to structure fires, vehicle fires, and fire alarms for both residential and non-residential structures. Motor vehicle fires were included but accidents were excluded. Any calls for service where the primary reason was medic related were not provided.","Charlotte Fire Department , Medic 911; 2013"
511,m32_2016,Nuisance_Violations_2016,Nuisance violations per 100 housing units,"Number of cited nuisance violations, divided by total housing units, times 100.","City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2015-June 30, 2016; Mecklenburg County Tax Parcels, 2016"
512,r32_2016,Nuisance_Violations_Total_2016,Number of nuisance violations,Number of cited nuisance violations,"City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2015-June 30, 2016; Mecklenburg County Tax Parcels, 2016"
513,m32_2015,Nuisance_Violations_2015,Nuisance violations per 100 housing units,"Number of cited nuisance violations, divided by total housing units, times 100.","City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2014-June 30, 2015; Mecklenburg County Tax Parcels, 2015"
514,r32_2015,Nuisance_Violations_Total_2015,Number of nuisance violations,Number of cited nuisance violations,"City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2014-June 30, 2015; Mecklenburg County Tax Parcels, 2015"
515,m32_2013,Nuisance_Violations_2013,Nuisance violations per 100 housing units,"Number of cited nuisance violations, divided by total housing units, times 100.","City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2012-June 30, 2013; Mecklenburg County Tax Parcels, 2013"
516,r32_2013,Nuisance_Violations_Total_2013,Number of nuisance violations,Number of cited nuisance violations,"City of Charlotte Code Enforcement; Town of Cornelius; Town of Matthews; Town of Mint Hill; Mecklenburg County Code Enforcement, July 1, 2012-June 30, 2013; Mecklenburg County Tax Parcels, 2013"
517,Transportation,,,,
518,m33_2017,Long_Commute_2017,Percentage of commuters traveling 20 minutes or more to work by car,"Number of commuters (traveling by car, truck, or van) with a commute time of 20 minutes or longer, divided by the total number of auto commuters.","U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
519,m33_moe_2017,Long_Commute_moe_2017,Margin of Error (Percent),The U.S. Census Bureau calculates standard errors for each estimate produced and publishes the margin of error above and below the estimate at a 90 percent confidence level (the Census Bureau standard). There is a 90 percent chance that the true value falls within this range: the etstimate plus or minus the margin of error.,"U.S. Census Bureau American Community Survey, 2013-2017 5-Year Estmates"
520,m34_2018,Bicycle_Friendliness_2018,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Davidson; 2018"
521,m34_2017,Bicycle_Friendliness_2017,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Davidson; 2017"
522,m34_2016,Bicycle_Friendliness_2016,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, Town of Davidson; 2016"
