,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
1560,365,2019,Beaver Creek CRE LLC,MUDD-O,MUDD-O,CD,SPA,NO,2.11,CMUD,CMUD,YES,Corridor,South,Scott Correll,Grant Meacci,John Kinley,2019/03/21 14:09:19+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1561,366,2014,City of Charlotte (N&BS),B-2,MUDD-O,CD,no,NO,20.32,CMUD,CMUD,YES,Corridor,Central,Osborne_Alysia,Dixon_Bridget,John Kinley,2014/09/22 00:00:00+00,,Wd,6.9,31.0,62.1,7.0,17.2,17.0,60.0,,111.0,58.73,100.0,44.44444444444444,28.57142857142857,,11.11111111111111,163.0,1.0,46.0,,,,74.0,,
1562,366,2014,City of Charlotte (N&BS),R-22MF,B-2(CD),CD,no,NO,20.32,CMUD,CMUD,YES,Corridor,Central,Osborne_Alysia,Dixon_Bridget,John Kinley,2014/09/22 00:00:00+00,,Wd,6.9,31.0,62.1,7.0,17.2,17.0,60.0,,111.0,58.73,100.0,44.44444444444444,28.57142857142857,,11.11111111111111,163.0,1.0,46.0,,,,74.0,,
1563,366,2015,"Off Camber Group, Inc.",I-2,I-1,NC,no,NO,0.52,CMUD,CMUD,YES,Corridor,Central,Osborne_Alysia,Dixon_Bridget,Lyte-Graham_Claire,2015/01/23 00:00:00+00,2015/05/18 00:00:00+00,App,,31.0,,7.0,,22.0,,38.2,,63.08,88.0,52.6315789473684,33.33,,17.8082191780822,67.0,1.0,18.0,3.6,2.0,796.0,69.0,1.27,1.4
1564,367,2016,"Pamlico Investments, Inc.",B-1,MUDD-O,CD,no,NO,1.37,CMUD,CMUD,YES,Corridor,,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/01/25 00:00:00+00,2016/05/16 00:00:00+00,App,0.0,1130.0,80.4,37.0,8.4,,72.0,36,151.0,73.4,85.0,69.12,83.3,100.0,6.0,2986.0,,80.0,2.6,8.0,5562.0,,1.41,1.8
1565,367,2014,The Charlotte-Mecklenburg Hospital Authority,R-5,O-2(CD),CD,no,NO,1.56,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2013/11/25 00:00:00+00,,Wd,0.9,1143.0,82.5,42.0,6.1,5.0,75.0,,139.0,71.37,93.0,75.38461538461539,85.0,68.75,4.83271375464684,1496.0,3.0,56.0,,,,112.0,,
1566,367,2020,Saussy Burbank/The Drakeford Company,R-22MF,UR-2(CD),CD,no,NO,0.55,CMUD,CMUD,YES,Corridor,,Travis Johnson,,,2019/12/12 14:42:06+00,2020/07/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1567,367,2019,Crescent Communities,MUDD-O,MUDD-O,CD,SPA,NO,1.68,CMUD,CMUD,YES,Corridor,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,2019/02/15 09:21:11+00,2019/10/21 08:51:16+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1568,367,2014,"7th Street Progression Partners, LLC",B-1,MUDD-O,CD,no,NO,1.5,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Dixon_Bridget,Lyte-Graham_Claire,2014/06/23 00:00:00+00,2014/11/17 00:00:00+00,App,0.9,1143.0,82.5,42.0,6.1,5.0,75.0,,139.0,71.37,93.0,75.38461538461539,85.0,68.75,4.83271375464684,1496.0,3.0,56.0,,,,112.0,,
1569,367,2017,"Circa Investments, LLC",B-1,NS,CD,no,NO,0.77,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/02/24 00:00:00+00,2018/09/24 00:00:00+00,App,,1126.0,,22.0,,4.0,,36.4,,76.0,92.0,69.1,75.7,58.3,6.0,1090.0,,25.0,2.6,8.0,5556.0,,1.4,1.8
1570,367,2017,Central Peidmont Community College,B-2,MUDD-O,CD,no,NO,1.76,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Alan Goodwin,Solomon Fortune,2017/10/16 00:00:00+00,2018/04/16 00:00:00+00,App,,1126.0,,22.0,,4.0,,36.4,,76.0,92.0,69.1,75.7,58.3,6.0,1090.0,,25.0,2.6,8.0,5556.0,,1.4,1.8
1571,367,2016,"Pamlico Investments, Inc.",R-22MF,MUDD-O,CD,no,NO,1.37,CMUD,CMUD,YES,Corridor,,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/01/25 00:00:00+00,2016/05/16 00:00:00+00,App,0.0,1130.0,80.4,37.0,8.4,,72.0,36,151.0,73.4,85.0,69.12,83.3,100.0,6.0,2986.0,,80.0,2.6,8.0,5562.0,,1.41,1.8
1572,367,2016,"FCD-Development, LLC",NS,MUDD-O,CD,no,NO,1.68,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/10/23 00:00:00+00,2016/07/18 00:00:00+00,App,0.0,1130.0,80.4,37.0,8.4,,72.0,36,151.0,73.4,85.0,69.12,83.3,100.0,6.0,2986.0,,80.0,2.6,8.0,5562.0,,1.41,1.8
1573,367,2015,Charlotte-Mecklenburg Planning Department,None,I-2,NC,no,NO,0.45299999999999996,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Goodwin_Alan,Fortune_Solomon,2015/01/21 00:00:00+00,2015/05/18 00:00:00+00,App,,1130.0,,41.0,,4.0,,35.6,,69.8,100.0,80.0,78.46,66.67,6.53846153846154,730.0,4.0,25.0,2.6,7.0,4866.0,75.0,1.42,1.8
1574,367,2017,Central Peidmont Community College,NS,MUDD-O,CD,no,NO,1.76,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Alan Goodwin,Solomon Fortune,2017/10/16 00:00:00+00,2018/04/16 00:00:00+00,App,,1126.0,,22.0,,4.0,,36.4,,76.0,92.0,69.1,75.7,58.3,6.0,1090.0,,25.0,2.6,8.0,5556.0,,1.4,1.8
1575,367,2017,"Circa Investments, LLC",O-2,NS,CD,no,NO,0.77,CMUD,CMUD,YES,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/02/24 00:00:00+00,2018/09/24 00:00:00+00,App,,1126.0,,22.0,,4.0,,36.4,,76.0,92.0,69.1,75.7,58.3,6.0,1090.0,,25.0,2.6,8.0,5556.0,,1.4,1.8
1576,367,2015,"FCD-Development, LLC",NS,MUDD-O,CD,no,NO,1.68,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/06/05 00:00:00+00,,Wd,,1130.0,,41.0,,4.0,,35.6,,69.8,100.0,80.0,78.46,66.67,6.53846153846154,730.0,4.0,25.0,2.6,7.0,4866.0,75.0,1.42,1.8
1577,367,2020,McShane Partners LLC,R-43MF,MUDD-O(CD),CD,no,NO,0.233,CMUD,CMUD,YES,Corridor,Central,Travis Johnson,Grant Meacci,Claire Lyte-Graham,2019/12/20 13:36:35+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1578,367,2015,Randolph Road Redevelopment,O-2,MUDD-O,CD,no,NO,2.57,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/06/18 00:00:00+00,,Wd,,1130.0,,41.0,,4.0,,35.6,,69.8,100.0,80.0,78.46,66.67,6.53846153846154,730.0,4.0,25.0,2.6,7.0,4866.0,75.0,1.42,1.8
1579,367,2017,Central Peidmont Community College,O-2,MUDD-O,CD,no,NO,1.76,CMUD,CMUD,YES,Corridor,Central,Kathy Cornett,Alan Goodwin,Solomon Fortune,2017/10/16 00:00:00+00,2018/04/16 00:00:00+00,App,,1126.0,,22.0,,4.0,,36.4,,76.0,92.0,69.1,75.7,58.3,6.0,1090.0,,25.0,2.6,8.0,5556.0,,1.4,1.8
1580,367,2015,Randolph Road Redevelopment,O-2,MUDD-O,CD,no,NO,2.57,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2015/06/18 00:00:00+00,,Wd,,1130.0,,41.0,,4.0,,35.6,,69.8,100.0,80.0,78.46,66.67,6.53846153846154,730.0,4.0,25.0,2.6,7.0,4866.0,75.0,1.42,1.8
1581,368,2015,York Development Group,B-1,B-2,NC,no,NO,2.88,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,John Kinley,2015/04/27 00:00:00+00,2015/10/19 00:00:00+00,App,,977.0,,83.0,,19.0,,26.8,,84.17,89.0,51.6129032258064,40.91,53.85,12.9113924050633,234.0,,16.0,4.6,3.0,3038.0,100.0,1.24,1.5
1582,369,2014,"Flywheel Group, LLC",UR-3(CD),TOD-M(CD),CD,no,NO,15.5,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2014/08/15 00:00:00+00,2015/07/20 00:00:00+00,App,15.9,195.0,56.8,38.0,20.5,42.0,63.0,,96.0,74.09,81.0,32.20338983050847,13.333333333333334,25.0,20.44609665427509,238.0,1.0,36.0,,,,37.0,,
1583,369,2017,"Charlotte Tryon Hills Partners, LLC",R-5,UR-2(CD),CD,no,NO,,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/01/23 00:00:00+00,2017/05/15 00:00:00+00,App,,137.0,,27.0,,41.0,,26.1,,74.0,80.0,29.0,16.3,33.3,35.0,100.0,,11.0,8.6,3.0,1109.0,,1.29,1.6
1584,369,2019,Housing Authority of the City of Charlotte NC,R-22MF,UR-3(CD),CD,no,NO,4.27,CMUD,CMUD,YES,Corridor,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/04/02 17:18:17+00,2019/09/16 08:39:29+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1585,369,2017,"Charlotte Tryon Hills Partners, LLC",R-22MF,UR-2(CD),CD,no,NO,,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/01/23 00:00:00+00,2017/05/15 00:00:00+00,App,,137.0,,27.0,,41.0,,26.1,,74.0,80.0,29.0,16.3,33.3,35.0,100.0,,11.0,8.6,3.0,1109.0,,1.29,1.6
1586,369,2019,"406 W 32nd, LLC",I-2,MUDD-O,CD,no,NO,2.12,CMUD,CMUD,YES,Corridor,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/06/11 09:16:45+00,2019/12/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1587,369,2017,"Charlotte Tryon Hills Partners, LLC",I-1,UR-2(CD),CD,no,NO,,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/01/23 00:00:00+00,2017/05/15 00:00:00+00,App,,137.0,,27.0,,41.0,,26.1,,74.0,80.0,29.0,16.3,33.3,35.0,100.0,,11.0,8.6,3.0,1109.0,,1.29,1.6
1588,370,2017,Laurel Street Residential,R-5,UR-3(CD),CD,no,NO,2.0,CMUD,CMUD,YES,Corridor,Central,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2017/04/21 00:00:00+00,2017/09/18 00:00:00+00,App,,712.0,,56.0,,72.0,,30.3,,79.0,82.0,25.6,18.2,40.0,20.0,186.0,,10.0,9.9,7.0,3274.0,,1.21,1.6
1589,370,2019,"Flagship Healthcare Properties, LLC",R-5,NS,CD,no,NO,8.12,CMUD,CMUD,YES,Wedge,Central,Scott Correll,Grant Meacci,Claire Lyte-Graham,2019/06/17 10:52:56+00,2019/12/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1590,371,2018,"Charlotte-Mecklenburg Housing Partnership, Inc.",R-4,MUDD(O),CD,no,NO,4.48,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/12/26 09:55:49+00,2019/04/15 00:00:00+00,App,,528.0,,23.0,,,,24.5,138.0,,,,,,,1839.0,,57.0,7.7,4.0,6038.0,,1.29,1.6
1591,371,2017,Conformity Corporation,I-2,TOD-M,NC,no,NO,4.07,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/03/24 00:00:00+00,2017/06/19 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1592,371,2017,"NRP Properties, LLC",B-2(CD),TOD-RO,CD,no,NO,5.47,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/02/20 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1593,371,2014,Charlotte-Mecklenburg Planning Department,R-17MF,R-8MF,NC,no,NO,1.35,CMUD,CMUD,YES,Wedge,Northeast,Osborne_Alysia,Goodwin_Alan,Fortune_Solomon,2013/11/25 00:00:00+00,2014/03/17 00:00:00+00,App,9.3,121.0,44.0,5.0,11.9,32.0,67.0,,127.0,71.7,71.0,29.74137931034483,21.73913043478261,32.35294117647059,17.75147928994083,1756.0,5.0,52.0,,,,87.0,,
1594,371,2018,NRP Properties LLC,B-2(CD),UR-2(CD),CD,no,NO,6.63,CMUD,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/12/13 11:57:31+00,2019/07/15 00:00:00+00,App,,528.0,,23.0,,,,24.5,138.0,,,,,,,1839.0,,57.0,7.7,4.0,6038.0,,1.29,1.6
1595,371,2017,Craig Smith,I-2,TOD-M(O),CD,no,NO,1.49,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sonja Sanders,2017/07/28 00:00:00+00,2017/12/18 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1596,371,2017,"NRP Properties, LLC",B-2,TOD-RO,CD,no,NO,6.97,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/02/20 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1597,371,2018,"Charlotte-Mecklenburg Housing Partnership, Inc.",R-4,UR-2(CD),CD,no,NO,3.6319999999999997,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2018/12/26 09:55:49+00,2019/04/15 00:00:00+00,App,,528.0,,23.0,,,,24.5,138.0,,,,,,,1839.0,,57.0,7.7,4.0,6038.0,,1.29,1.6
1598,371,2017,Jimmy Royster - Mosaic Development Group,UR-2(CD),UR-2(CD),CD,SPA,NO,3.68,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/11/23 00:00:00+00,2017/03/20 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1599,371,2017,Flywheel Group,I-2,TOD-M(O),CD,no,NO,19.0,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/07/14 00:00:00+00,2017/11/27 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1600,371,2017,"C4 Investments, LLC",R-4,UR-2(CD),CD,no,NO,9.82,CMUD,CMUD,YES,Wedge,East,Amanda Rosen,Monica Holmes,Sonja Sanders,2017/11/27 00:00:00+00,2018/03/19 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1601,371,2017,"CapRock,LLC",B-2,TOD-R(CD),CD,no,NO,4.64,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/06/23 00:00:00+00,2017/11/20 00:00:00+00,App,,356.0,,23.0,,36.0,,24.4,,73.0,87.0,27.0,19.0,25.7,22.0,886.0,,19.0,7.7,4.0,6056.0,,1.29,1.6
1602,371,2014,Dona M. Patterson,R-12MF,O-1(CD),CD,no,NO,0.65,CMUD,CMUD,YES,Corridor,Northeast,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2014/09/22 00:00:00+00,2015/04/20 00:00:00+00,App,9.3,121.0,44.0,5.0,11.9,32.0,67.0,,127.0,71.7,71.0,29.74137931034483,21.73913043478261,32.35294117647059,17.75147928994083,1756.0,5.0,52.0,,,,87.0,,
1603,371,2019,Kenneth Simmons,I-2,TOD-TR,NC,no,NO,2.89,CMUD,CMUD,YES,Corridor,East,Travis Johnson,Grant Meacci,Will Linville,2019/10/25 10:40:31+00,2020/03/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1604,372,2016,Halvorsen Development Corporation,NS,NS,CD,SPA,NO,1.63,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,John Kinley,2016/07/25 00:00:00+00,2017/09/18 00:00:00+00,App,0.0,964.0,69.8,22.0,5.0,,76.0,16.4,163.0,87.8,100.0,60.88,57.6,74.6,6.0,6031.0,,81.0,5.5,6.0,11854.0,,1.11,1.4
1605,372,2019,Encore Real Estate,UR-2(CD),MUDD-O,CD,no,NO,7.0,CMUD,CMUD,YES,Mixed Use Activity Center,,Erin Brooks,,,2019/11/27 08:02:48+00,2020/07/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1606,372,2018,Alliance Residential Company,R-3,MUDD-O,CD,no,NO,10.5,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/10/19 14:18:28+00,2019/05/20 14:17:49+00,App,,393.0,,9.0,,,,16.3,150.0,,,,,,,4824.0,,68.0,5.5,6.0,11922.0,,1.11,1.5
1607,372,2017,"JDSI, LLC",INST(CD),R-4,NC,no,NO,1.39,CMUD,CMUD,YES,Wedge,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2017/08/30 00:00:00+00,2018/01/26 00:00:00+00,App,,444.0,,9.0,,5.0,,16.4,,88.0,98.0,64.6,59.4,51.0,7.0,1920.0,,22.0,5.5,6.0,11919.0,,1.11,1.5
1608,372,2016,Halvorsen Development Corporation,UR-2(CD),NS,CD,no,NO,1.63,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,John Kinley,2016/07/25 00:00:00+00,2017/09/18 00:00:00+00,App,0.0,964.0,69.8,22.0,5.0,,76.0,16.4,163.0,87.8,100.0,60.88,57.6,74.6,6.0,6031.0,,81.0,5.5,6.0,11854.0,,1.11,1.4
1609,372,2017,Stream Realty Partners,NS,R-17MF(CD),CD,no,NO,11.05,CMUD,CMUD,YES,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/10/21 00:00:00+00,2017/02/20 00:00:00+00,App,,444.0,,9.0,,5.0,,16.4,,88.0,98.0,64.6,59.4,51.0,7.0,1920.0,,22.0,5.5,6.0,11919.0,,1.11,1.5
1610,372,2019,Encore Real Estate,NS,MUDD-O,CD,no,NO,7.0,CMUD,CMUD,YES,Mixed Use Activity Center,,Erin Brooks,,,2019/11/27 08:02:48+00,2020/07/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1611,373,2019,"Aldersgate at Shalom Park, Inc.",R-I,INST,NC,no,NO,17.17,CMUD,CMUD,YES,Wedge,South,Scott Correll,Grant Meacci,John Kinley,2019/03/01 00:00:00+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1612,373,2019,"Aldersgate at Shalom Park, Inc.",R-I,INST(CD),CD,no,NO,17.17,CMUD,CMUD,YES,Wedge,South,Scott Correll,Grant Meacci,John Kinley,2019/03/01 00:00:00+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1613,373,2019,"Aldersgate at Shalom Park, Inc.",R-3,INST(CD),CD,no,NO,17.17,CMUD,CMUD,YES,Wedge,South,Scott Correll,Grant Meacci,John Kinley,2019/03/01 00:00:00+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1614,373,2016,"Richter Development, LLC",R-3,UR-2(CD),CD,no,NO,2.01,CMUD,CMUD,YES,Wedge,South,Main_Kent,Grant Meacci,John Kinley,2016/08/18 00:00:00+00,2017/02/20 00:00:00+00,App,0.0,318.0,73.7,29.0,7.0,,77.0,20.8,174.0,75.9,91.0,76.32,85.2,,4.0,1654.0,,86.0,2.3,3.0,2549.0,,1.23,1.6
1615,373,2019,Canopy CLT,R-3,UR-2(CD),CD,no,NO,1.6,CMUD,CMUD,YES,Wedge,South,Scott Correll,Grant Meacci,John Kinley,2019/11/01 11:02:58+00,,Wd,,,,,,,,,,,,,,,,,,,,,,,,
1616,375,2014,"Copper Builders, Inc.",R-3,UR-2(CD),CD,no,NO,9.09,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,2014/03/24 00:00:00+00,2014/07/21 00:00:00+00,App,0.0,279.0,90.0,32.0,6.7,1.0,82.0,,265.0,89.18,100.0,93.87755102040816,96.0,100.0,3.015075376884422,1197.0,3.0,67.0,,,,4.0,,
1617,375,2014,"Copper Builders, Inc.",UR-2(CD),UR-2(CD),CD,SPA,NO,9.09,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,Sanders_Sonja,2014/03/24 00:00:00+00,2014/07/21 00:00:00+00,App,0.0,279.0,90.0,32.0,6.7,1.0,82.0,,265.0,89.18,100.0,93.87755102040816,96.0,100.0,3.015075376884422,1197.0,3.0,67.0,,,,4.0,,
1618,378,2014,"Unique Southern Estates, LLC",R-5,MUDD-O,CD,no,NO,4.54,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,John Kinley,2014/08/25 00:00:00+00,,Den,1.2,833.0,90.1,39.0,8.7,4.0,69.0,,122.0,22.31,88.0,70.12987012987013,75.92592592592592,60.0,3.4090909090909087,1759.0,2.0,65.0,,,,51.0,,
1619,378,2016,The Drakeford Company,O-2,MUDD(CD),CD,no,NO,0.2,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/03/23 00:00:00+00,2016/09/19 00:00:00+00,App,0.0,886.0,80.9,41.0,12.0,,72.0,19.3,132.0,26.7,90.0,79.73,83.6,45.5,2.0,2853.0,,86.0,3.6,5.0,4397.0,,1.34,1.9
1620,378,2015,"DPJ Residential, LLC",B-1,MUDD(CD),CD,no,NO,0.88,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Goodwin_Alan,John Kinley,2015/02/23 00:00:00+00,2015/06/15 00:00:00+00,App,,863.0,,40.0,,4.0,,19,,23.23,100.0,70.6666666666667,84.21,70.59,4.52830188679245,1037.0,4.0,37.0,3.6,5.0,4350.0,51.0,1.34,1.9
1621,378,2014,"Unique Southern Estates, LLC",R-5,MUDD-O,CD,no,NO,4.54,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,John Kinley,2014/08/25 00:00:00+00,,Den,1.2,833.0,90.1,39.0,8.7,4.0,69.0,,122.0,22.31,88.0,70.12987012987013,75.92592592592592,60.0,3.4090909090909087,1759.0,2.0,65.0,,,,51.0,,
1622,378,2015,Mark A. Brummond,B-2(CD),UR-2(CD),CD,no,NO,0.63,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Dixon_Bridget,Lyte-Graham_Claire,2014/11/24 00:00:00+00,2015/04/20 00:00:00+00,App,,863.0,,40.0,,4.0,,19,,23.23,100.0,70.6666666666667,84.21,70.59,4.52830188679245,1037.0,4.0,37.0,3.6,5.0,4350.0,51.0,1.34,1.9
1623,378,2019,"VLE Partners, LLC",MUDD-O,MUDD-O,CD,SPA,NO,2.8,CMUD,CMUD,YES,Wedge,East,Amanda Avari,Grant Meacci,Sonja Sanders,2019/04/05 15:03:59+00,2019/09/16 08:41:29+00,App,,,,,,,,,,,,,,,,,,,,,,,,
1624,378,2018,"Unique Southern Estates, LLC",R-5,MUDD-O,CD,no,NO,4.54,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/02/09 00:00:00+00,2018/06/18 00:00:00+00,App,,1130.0,,47.0,,,,20.3,125.0,,,,,,,2644.0,,75.0,3.6,5.0,4883.0,,1.34,1.9
1625,378,2014,"Unique Southern Estates, LLC",B-2(CD),MUDD-O,CD,no,NO,4.54,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,John Kinley,2014/08/25 00:00:00+00,,Den,1.2,833.0,90.1,39.0,8.7,4.0,69.0,,122.0,22.31,88.0,70.12987012987013,75.92592592592592,60.0,3.4090909090909087,1759.0,2.0,65.0,,,,51.0,,
1626,378,2016,Phillip W. McLamb,B-1,MUDD-O,CD,no,NO,1.02,CMUD,CMUD,YES,Corridor,East,Mandy Vari,Monica Holmes,Sanders_Sonja,2015/11/18 00:00:00+00,2016/03/21 00:00:00+00,App,0.0,886.0,80.9,41.0,12.0,,72.0,19.3,132.0,26.7,90.0,79.73,83.6,45.5,2.0,2853.0,,86.0,3.6,5.0,4397.0,,1.34,1.9
1627,378,2014,"Gateway Communities NC, LLC",B-1,MUDD-O(CD),CD,no,NO,0.39,CMUD,CMUD,YES,Corridor,Central,Gonzalez_Alberto,Dixon_Bridget,Lyte-Graham_Claire,2013/11/25 00:00:00+00,2014/03/17 00:00:00+00,App,1.2,833.0,90.1,39.0,8.7,4.0,69.0,,122.0,22.31,88.0,70.12987012987013,75.92592592592592,60.0,3.4090909090909087,1759.0,2.0,65.0,,,,51.0,,
1628,378,2018,"Unique Southern Estates, LLC",B-2(CD),MUDD-O,CD,no,NO,4.54,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/02/09 00:00:00+00,2018/06/18 00:00:00+00,App,,1130.0,,47.0,,,,20.3,125.0,,,,,,,2644.0,,75.0,3.6,5.0,4883.0,,1.34,1.9
1629,378,2018,Stamatis Tsilimos,O-2,NS,CD,no,NO,1.04,,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/07/23 00:00:00+00,,Def,,1130.0,,47.0,,,,20.3,125.0,,,,,,,2644.0,,75.0,3.6,5.0,4883.0,,1.34,1.9
1630,378,2018,Stamatis Tsilimos,B-1,NS,CD,no,NO,1.04,,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/07/23 00:00:00+00,2019/04/15 09:07:40+00,App,,1130.0,,47.0,,,,20.3,125.0,,,,,,,2644.0,,75.0,3.6,5.0,4883.0,,1.34,1.9
